"Name","Network Address","Device Location"
"IMPSW0016","10.215.48.1","IMPSESTO17"
"IMPSA0331","10.215.56.1","IMPSELID10"
"IMPSA0333","10.215.56.5","IMPSELID10"
"IMPSC0235","10.215.64.1","IMPSESTO18"
"IMPSC0128","10.215.72.1","IMPSESTO19"
"IMPSC0240","10.215.80.1","IMPSESTO20"
"IMPSA0352","10.215.96.1","IMPSESOL10"
"IMPSC0009","10.216.8.1","IMPCHBAR1"
"IMPSC0158","10.216.32.1","IMPCHCRI1"
"IMPSA0100","10.216.32.5","IMPCHCRI1"
"IMPSA0339","10.216.32.6","IMPCHCRI1"
"IMPSA0123","10.216.64.1","IMPCHBAD1"
"IMPSW0023","10.216.72.1","IMPCHELS1"
"IMPSW0022","10.216.72.5","IMPCHELS1"
"IMPSW0021","10.216.80.1","IMPCHMGY2"
"IMPSC0205","10.216.112.1","IMPCHDLK1"
"IMPSA0246","10.216.112.5","IMPCHDLK1"
"IMPSA0362","10.216.112.6","IMPCHDLK1"
"IMPSA0236","10.216.112.7","IMPCHDLK1"
"IMPSA0238","10.216.112.8","IMPCHDLK1"
"IMPSA0240","10.216.112.9","IMPCHDLK1"
"IMPSA0356","10.216.112.10","IMPCHDLK1"
"IMPSA0243","10.216.112.11","IMPCHDLK1"
"IMPSA0244","10.216.112.12","IMPCHDLK1"
"IMPSC0206","10.216.128.1","IMPCHAAR1"
"IMPSA0222","10.216.128.5","IMPCHAAR1"
"IMPSA0223","10.216.128.6","IMPCHAAR1"
"IMPSA0224","10.216.128.7","IMPCHAAR1"
"IMPSA0225","10.216.128.8","IMPCHAAR1"
"IMPSA0226","10.216.128.9","IMPCHAAR1"
"IMPSA0227","10.216.128.10","IMPCHAAR1"
"IMPSC0210","10.216.144.1","IMPCHONX1"
"IMPSA0257","10.216.144.5","IMPCHONX1"
"IMPSA0259","10.216.144.6","IMPCHONX1"
"IMPSA0261","10.216.144.7","IMPCHONX1"
"IMPSA0263","10.216.144.8","IMPCHONX1"
"IMPSA0264","10.216.144.9","IMPCHONX1"
"IMPSA0266","10.216.144.10","IMPCHONX1"
"IMPSA0268","10.216.144.11","IMPCHONX1"
"IMPSC0175","10.217.0.1","IMPCHMEI10"
"IMPSA0112","10.217.0.5","CHMEI10"
"IMPSA0131","10.217.0.6","CHMEI10"
"IMPSA0021","10.217.0.7","CHMEI10"
"IMPSC0100","10.217.24.1","IMPCHARB1"
"IMPSA0108","10.217.24.5","IMPCHARB1"
"IMPSC0207","10.217.32.1","IMPCHBSL1"
"IMPSA0230","10.217.32.5","IMPCHBSL1"
"IMPSA0232","10.217.32.6","IMPCHBSL1"
"IMPSA0233","10.217.32.7","IMPCHBSL1"
"IMPSA0234","10.217.32.8","IMPCHBSL1"
"IMPSA0235","10.217.32.9","IMPCHBSL1"
"IMPSA0229","10.217.32.10","IMPCHBSL1"
"IMPSW0001","10.217.32.11","IMPCHBSL1"
"IMPSC0101","10.217.40.1","IMPCHBRN2"
"IMPSA0101","10.217.40.5","IMPCHBRN2"
"IMPSA0111","10.217.40.6","IMPCHBRN2"
"IMPSA0347","10.217.40.7","DEBRN2"
"IMPSC0102","10.217.48.1","IMPCHBIO1"
"IMPSA0005","10.217.48.6","IMPCHBIO1"
"IMPSC0123","10.217.56.1","IMPCHBRN14"
"IMPSC0104","10.217.64.1","IMPCHBGZ1"
"IMPSA0109","10.217.64.6","IMPCHBGZ1"
"IMPSC0136","10.217.72.1","IMPCHINV1"
"IMPSA0117","10.217.72.5","IMPCHINV1"
"IMPSC0105","10.217.80.1","IMPCHBCS1"
"IMPSA0102","10.217.80.5","IMPCHBCS1"
"IMPSC0135","10.217.80.6","IMPCHBCS1"
"IMPSC0106","10.217.88.1","IMPCHCHR1"
"IMPSA0103","10.217.88.5","IMPCHCHR1"
"IMPSA0113","10.217.88.6","IMPCHCHR1"
"IMPSA0323","10.217.88.7","IMPCHCHR1"
"IMPSC0103","10.217.96.1","CHLTL11"
"IMPSC0130","10.217.104.1","IMPCHDPZ1"
"IMPSC0132","10.217.120.1","IMPCHECH1"
"IMPSA0104","10.217.120.5","IMPCHECH1"
"IMPSA0115","10.217.120.6","IMPCHECH1"
"IMPSA0116","10.217.120.7","IMPCHECH1"
"IMPSA0337","10.217.120.8","IMPCHECH1"
"IMPSC0109","10.217.128.1","IMPCHFRN1"
"IMPSA0329","10.217.136.1","IMPCHFRB2"
"IMPSA0330","10.217.144.1","IMPCHFRB1"
"IMPSC0209","10.217.152.1","IMPCHGIK1"
"IMPSA0251","10.217.152.5","IMPCHGIK1"
"IMPSA0252","10.217.152.6","IMPCHGIK1"
"IMPSA0256","10.217.152.7","IMPCHGIK1"
"IMPSA0254","10.217.152.8","IMPCHGIK1"
"IMPSA0255","10.217.152.9","IMPCHGIK1"
"IMPSA0253","10.217.152.10","IMPCHGIK1"
"IMPSC0133","10.217.160.1","IMPCHGRB1"
"IMPSC0129","10.217.176.1","IMPCHLCF1"
"IMPSC0139","10.217.184.1","IMPCHLZN1"
"IMPSA0118","10.217.184.5","IMPCHLZN1"
"IMPSA0119","10.217.184.6","IMPCHLZN1"
"IMPSA0121","10.217.184.8","IMPCHLZN1"
"IMPSC0110","10.217.192.1","IMPCHLZN2"
"IMPSC0142","10.217.200.1","IMPCHMNE1"
"IMPSC0141","10.217.208.1","IMPCHMGY1"
"IMPSA0342","10.217.216.1","IMPCHMEI1"
