,10.201.32.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.201.40.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   5.   (Number of active ports=5),VLAN 140: sh vlan ARGE-DMZ,    Ports:   12.   (Number of active ports=6),VLAN 160: sh vlan ARGE-Clients,    Ports:   11.   (Number of active ports=6),
,10.201.48.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=2),VLAN 140: sh vlan ARGE-DMZ,    Ports:   6.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=3),
,10.201.56.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   13.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   13.   (Number of active ports=1),
,10.201.64.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   7.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   10.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   9.   (Number of active ports=2),
,10.201.72.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   8.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   10.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   9.   (Number of active ports=1),
,10.201.80.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   8.   (Number of active ports=3),VLAN 140: sh vlan ARGE-DMZ,    Ports:   9.   (Number of active ports=4),VLAN 160: sh vlan ARGE-Clients,    Ports:   9.   (Number of active ports=4),
,10.201.88.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=2),
,10.201.96.1,
,10.202.0.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   1.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=2),
,10.202.104.1,
,10.202.120.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   52.   (Number of active ports=8),VLAN 140: sh vlan ARGE-DMZ,    Ports:   52.   (Number of active ports=8),VLAN 160: sh vlan ARGE-Clients,    Ports:   54.   (Number of active ports=9),
,10.202.128.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   1.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   2.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   2.   (Number of active ports=1),
,10.202.136.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   3.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   4.   (Number of active ports=2),
,10.202.144.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   5.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=2),
,10.202.152.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   4.   (Number of active ports=0),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.202.16.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   1.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.202.160.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=2),VLAN 140: sh vlan ARGE-DMZ,    Ports:   6.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=3),
,10.202.24.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.202.32.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   5.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   6.   (Number of active ports=2),
,10.202.40.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.202.48.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   1.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   2.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   2.   (Number of active ports=2),
,10.202.56.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   4.   (Number of active ports=0),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.202.64.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   5.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   6.   (Number of active ports=2),
,10.202.72.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
,10.202.8.1,
,10.202.88.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   4.   (Number of active ports=0),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.209.0.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=2),VLAN 140: sh vlan ARGE-DMZ,    Ports:   7.   (Number of active ports=3),VLAN 160: sh vlan ARGE-Clients,    Ports:   8.   (Number of active ports=4),
,10.210.0.1,
,10.212.0.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Primary IP: 10.212.7.1/24,    Ports:   7.   (Number of active ports=3),       Untag: *20(IMP-QoS-Voice-Ports),VLAN 140: sh vlan ARGE-DMZ,    Ports:   6.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   8.   (Number of active ports=4),
,10.214.8.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=2),VLAN 140: sh vlan ARGE-DMZ,    Ports:   6.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=3),
,10.215.0.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   10.   (Number of active ports=1),       Untag: 43(IMP_ARGE_DMZ)m44(IMP_ARGE_DMZ)m45(IMP_ARGE_DMZ)m46(IMP_ARGE_DMZ)m47(IMP_ARGE_DMZ)m,VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.215.16.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   7.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=2),
,10.215.24.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   7.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=1),
,10.215.32.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=2),VLAN 140: sh vlan ARGE-DMZ,    Ports:   7.   (Number of active ports=3),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=3),
,10.215.40.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   7.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   8.   (Number of active ports=2),
,10.215.48.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   7.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=1),
,10.215.56.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=2),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=3),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=3),
,10.215.64.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   6.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   6.   (Number of active ports=0),VLAN 160: sh vlan ARGE-Clients,    Ports:   7.   (Number of active ports=1),
,10.215.72.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.215.8.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   7.   (Number of active ports=0),       Untag: 43(IMP_ARGE_DMZ)m44(IMP_ARGE_DMZ)m45(IMP_ARGE_DMZ)m,VLAN 160: sh vlan ARGE-Clients,    Ports:   21.   (Number of active ports=1),       Untag: 27(IMP_ARGE_Clients)m28(IMP_ARGE_Clients)m29(IMP_ARGE_Clients)m30(IMP_ARGE_Clients)m31(IMP_ARGE_Clients)m32(IMP_ARGE_Clients)m33(IMP_ARGE_Clients)m,
,10.215.80.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
,10.216.112.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   34.   (Number of active ports=8),VLAN 140: sh vlan ARGE-DMZ,    Ports:   34.   (Number of active ports=8),VLAN 160: sh vlan ARGE-Clients,    Ports:   36.   (Number of active ports=9),
,10.216.128.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   12.   (Number of active ports=6),VLAN 140: sh vlan ARGE-DMZ,    Ports:   12.   (Number of active ports=6),VLAN 160: sh vlan ARGE-Clients,    Ports:   15.   (Number of active ports=7),
,10.216.144.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   29.   (Number of active ports=9),VLAN 140: sh vlan ARGE-DMZ,    Ports:   31.   (Number of active ports=10),VLAN 160: sh vlan ARGE-Clients,    Ports:   31.   (Number of active ports=10),
,10.216.32.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   12.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   12.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   14.   (Number of active ports=2),
,10.216.64.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   1.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   2.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   2.   (Number of active ports=1),
,10.216.72.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   5.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   6.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   6.   (Number of active ports=2),
,10.216.8.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   0.   (Number of active ports=0),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.216.80.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.217.0.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
,10.217.104.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   1.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.217.120.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   3.   (Number of active ports=3),VLAN 140: sh vlan ARGE-DMZ,    Ports:   4.   (Number of active ports=4),VLAN 160: sh vlan ARGE-Clients,    Ports:   4.   (Number of active ports=4),
,10.217.128.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   1.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.217.136.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
,10.217.144.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
,10.217.152.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   14.   (Number of active ports=6),VLAN 140: sh vlan ARGE-DMZ,    Ports:   16.   (Number of active ports=7),VLAN 160: sh vlan ARGE-Clients,    Ports:   16.   (Number of active ports=7),
,10.217.160.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   1.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.217.176.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   1.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.217.184.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=3),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=4),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=4),
,10.217.192.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   1.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.217.200.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   1.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.217.208.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   1.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.217.216.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
,10.217.224.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   0.   (Number of active ports=0),VLAN 160: sh vlan ARGE-Clients,    Ports:   1.   (Number of active ports=1),
,10.217.232.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=2),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=3),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=3),
,10.217.24.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   1.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   2.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   2.   (Number of active ports=2),
,10.217.240.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
,10.217.248.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   8.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   9.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   9.   (Number of active ports=1),
,10.217.32.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   16.   (Number of active ports=7),VLAN 140: sh vlan ARGE-DMZ,    Ports:   18.   (Number of active ports=8),VLAN 160: sh vlan ARGE-Clients,    Ports:   18.   (Number of active ports=8),
,10.217.40.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   3.   (Number of active ports=3),VLAN 140: sh vlan ARGE-DMZ,    Ports:   4.   (Number of active ports=4),VLAN 160: sh vlan ARGE-Clients,    Ports:   4.   (Number of active ports=4),
