10.201.0.1,Printer,10.192.10.42
10.201.0.1,Printer,10.192.10.43
10.201.0.1,Server,10.192.10.42
10.201.0.1,Server,10.192.10.43
10.201.0.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.0.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.0.1,Wifi-Ph2Vl250,10.192.10.43
10.201.0.1,Wifi-Ph2Vl250,10.192.10.42
10.201.104.1,Default,10.225.0.88
10.201.104.1,Clients,10.192.10.42
10.201.104.1,Clients,10.192.10.43
10.201.104.1,Printer,10.192.10.42
10.201.104.1,Printer,10.192.10.43
10.201.104.1,Server,10.192.10.42
10.201.104.1,Server,10.192.10.43
10.201.104.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.104.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.104.1,Wifi-Ph2Vl250,10.192.10.43
10.201.104.1,Wifi-Ph2Vl250,10.192.10.42
10.201.112.1,Default,10.225.0.88
10.201.112.1,Printer,10.192.10.42
10.201.112.1,Printer,10.192.10.43
10.201.112.1,Clients,10.192.10.42
10.201.112.1,Clients,10.192.10.43
10.201.112.1,Clients,10.201.113.12
10.201.112.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.112.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.112.1,IMP-Spec-Serv,10.192.10.42
10.201.112.1,IMP-Spec-Serv,10.192.10.43
10.201.112.1,Wifi-Ph2Vl250,10.192.10.42
10.201.112.1,Wifi-Ph2Vl250,10.192.10.43
10.201.120.1,Default,10.225.0.88
10.201.120.1,Clients,10.192.10.42
10.201.120.1,Clients,10.192.10.43
10.201.120.1,Printer,10.192.10.42
10.201.120.1,Printer,10.192.10.43
10.201.120.1,Server,10.192.10.42
10.201.120.1,Server,10.192.10.43
10.201.120.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.120.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.120.1,Wifi-Ph2Vl250,10.192.10.43
10.201.120.1,Wifi-Ph2Vl250,10.192.10.42
10.201.136.1,Default,10.225.0.88
10.201.136.1,Clients,10.192.10.42
10.201.136.1,Clients,10.192.10.43
10.201.136.1,Clients,10.201.137.12
10.201.136.1,IMP-Spec-Serv,10.192.10.43
10.201.136.1,IMP-Spec-Serv,10.192.10.42
10.201.136.1,Printer,10.192.10.42
10.201.136.1,Printer,10.192.10.43
10.201.136.1,Server,10.192.10.42
10.201.136.1,Server,10.192.10.43
10.201.136.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.136.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.136.1,Wifi-Ph2Vl250,10.192.10.43
10.201.136.1,Wifi-Ph2Vl250,10.192.10.42
10.201.144.1,Default,10.225.0.88
10.201.144.1,Clients,10.192.10.42
10.201.144.1,Clients,10.192.10.43
10.201.144.1,Clients,10.201.145.12
10.201.144.1,IMP-Spec-Serv,10.192.10.43
10.201.144.1,IMP-Spec-Serv,10.192.10.42
10.201.144.1,Printer,10.192.10.42
10.201.144.1,Printer,10.192.10.43
10.201.144.1,Server,10.192.10.42
10.201.144.1,Server,10.192.10.43
10.201.144.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.144.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.144.1,Wifi-Ph2Vl250,10.192.10.43
10.201.144.1,Wifi-Ph2Vl250,10.192.10.42
10.201.152.1,Default,10.225.0.88
10.201.152.1,Clients,10.192.10.42
10.201.152.1,Clients,10.192.10.43
10.201.152.1,Printer,10.192.10.42
10.201.152.1,Printer,10.192.10.43
10.201.152.1,Server,10.192.10.42
10.201.152.1,Server,10.192.10.43
10.201.152.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.201.152.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.201.152.1,Wifi-Ph2Vl250,10.192.10.43
10.201.152.1,Wifi-Ph2Vl250,10.192.10.42
10.201.16.1,Default,10.225.0.88
10.201.16.1,Clients,10.192.10.42
10.201.16.1,Clients,10.192.10.43
10.201.16.1,Printer,10.192.10.42
10.201.16.1,Printer,10.192.10.43
10.201.16.1,Server,10.192.10.42
10.201.16.1,Server,10.192.10.43
10.201.16.1,Wifi-Ph1-VoicePh2,10.192.10.42
